apk	status	used_time_file
AIMSICD-normal-release.apk	no_assets	none
app-full-release.apk	no_js	missing
CNodeMD-v1.4.0.apk	nothing_detected	extracted/CNodeMD-v1.4.0/assets/opgen_generated_files/used_time.txt
DynamicAliasCaseI.apk	no_assets	none
DynamicJSCaseH.apk	no_assets	none
HelloHybrid.apk	tainted_detected	extracted/HelloHybrid/assets/opgen_generated_files/used_time.txt
HelloScript.apk	nothing_detected	extracted/HelloScript/assets/opgen_generated_files/used_time.txt
HelloScript_simple.apk	nothing_detected	extracted/HelloScript_simple/assets/opgen_generated_files/used_time.txt
HelloScript_test.apk	nothing_detected	extracted/HelloScript_test/assets/opgen_generated_files/used_time.txt
HybridAPIArgNum.apk	tainted_detected	extracted/HybridAPIArgNum/assets/opgen_generated_files/used_time.txt
jellyfin-android-v2.6.4-libre-debug.apk	nothing_detected	extracted/jellyfin-android-v2.6.4-libre-debug/assets/opgen_generated_files/used_time.txt
JSUpdateCaseD.apk	nothing_detected	extracted/JSUpdateCaseD/assets/opgen_generated_files/used_time.txt
JsUpdateCaseE.apk	nothing_detected	extracted/JsUpdateCaseE/assets/opgen_generated_files/used_time.txt
JsUpdateCaseF.apk	nothing_detected	extracted/JsUpdateCaseF/assets/opgen_generated_files/used_time.txt
JsUpdateCaseG.apk	nothing_detected	extracted/JsUpdateCaseG/assets/opgen_generated_files/used_time.txt
strongUpdate.apk	nothing_detected	extracted/strongUpdate/assets/opgen_generated_files/used_time.txt
strongUpdatecaseA.apk	nothing_detected	extracted/strongUpdatecaseA/assets/opgen_generated_files/used_time.txt
strongUpdatecaseB.apk	nothing_detected	extracted/strongUpdatecaseB/assets/opgen_generated_files/used_time.txt
strongUpdatecaseC.apk	nothing_detected	extracted/strongUpdatecaseC/assets/opgen_generated_files/used_time.txt
