apk	exit_code	status	used_time_file
AIMSICD-normal-release.apk	0	ok	extracted_apks/AIMSICD-normal-release/opgen_generated_files/used_time.txt
CNodeMD-v1.4.0.apk	0	ok	extracted_apks/CNodeMD-v1.4.0/opgen_generated_files/used_time.txt
DynamicAliasCaseI.apk	0	ok	extracted_apks/DynamicAliasCaseI/opgen_generated_files/used_time.txt
DynamicJSCaseH.apk	0	ok	extracted_apks/DynamicJSCaseH/opgen_generated_files/used_time.txt
HelloHybrid.apk	0	ok	extracted_apks/HelloHybrid/opgen_generated_files/used_time.txt
HelloScript.apk	0	ok	extracted_apks/HelloScript/opgen_generated_files/used_time.txt
HelloScript_simple.apk	0	ok	extracted_apks/HelloScript_simple/opgen_generated_files/used_time.txt
HelloScript_test.apk	0	ok	extracted_apks/HelloScript_test/opgen_generated_files/used_time.txt
HybridAPIArgNum.apk	0	ok	extracted_apks/HybridAPIArgNum/opgen_generated_files/used_time.txt
JSUpdateCaseD.apk	0	ok	extracted_apks/JSUpdateCaseD/opgen_generated_files/used_time.txt
JsUpdateCaseE.apk	0	ok	extracted_apks/JsUpdateCaseE/opgen_generated_files/used_time.txt
JsUpdateCaseF.apk	0	ok	extracted_apks/JsUpdateCaseF/opgen_generated_files/used_time.txt
JsUpdateCaseG.apk	0	ok	extracted_apks/JsUpdateCaseG/opgen_generated_files/used_time.txt
app-full-release.apk	0	ok	extracted_apks/app-full-release/opgen_generated_files/used_time.txt
jellyfin-android-v2.6.4-libre-debug.apk	0	ok	extracted_apks/jellyfin-android-v2.6.4-libre-debug/opgen_generated_files/used_time.txt
strongUpdate.apk	0	ok	extracted_apks/strongUpdate/opgen_generated_files/used_time.txt
strongUpdatecaseA.apk	0	ok	extracted_apks/strongUpdatecaseA/opgen_generated_files/used_time.txt
strongUpdatecaseB.apk	0	ok	extracted_apks/strongUpdatecaseB/opgen_generated_files/used_time.txt
strongUpdatecaseC.apk	0	ok	extracted_apks/strongUpdatecaseC/opgen_generated_files/used_time.txt
